id,path,mtime,bass_ratio,bass_rms_h,bass_rms_p,centroid,bandwidth,rolloff,zcr,tempo,bass_beat_mean,bass_beat_var
4ee398b7487cfd1d,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\audio_raw\Another_One_Bites.wav,1754445416.4408844,0.5589619719911231,9.51154509274232,13.957254821712045,2153.6268756803343,2086.1236921129444,4149.849845063674,0.10917156289496098,112.34714673913044,-25.53310203552246,464.5748291015625
3e709c9a80b7bf6a,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Another_One_Bites\(FREE) Michael Jackson 80s type beat - Starlight Lover [8MZR9cvKURg].wav,1754895741.9434352,0.7213536449251287,26.656536212560766,23.367805230467486,1996.1577418239142,2308.255213093756,4349.971901102269,0.07971678388879654,112.34714673913044,-22.688695907592773,439.69580078125
87373a0cdeff4b5d,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Another_One_Bites\Got 2 Grind [s4SgL1W6syU].wav,1754895692.9077408,0.9542225166585196,82.07658866114015,23.390503663262464,2152.1457985435254,2270.918112061732,4653.64264068455,0.07615215686324198,143.5546875,-16.251317977905273,514.928955078125
fead21820be00a71,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Another_One_Bites\His Wishlist： 43. In the Disco was One (Instrumental) [qKej0y7RDy0].wav,1754895653.514727,0.9532694044577685,57.40773210185302,17.214036687599812,1559.2378306018331,2031.146970516143,3423.815448184594,0.051004896685320704,107.666015625,-16.52804946899414,594.1679077148438
d0f947c8ab1f58b0,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Another_One_Bites\Miss - Hip Hop [Audio] [zuijRF0bdiY].wav,1754895642.1692717,0.42836090787675857,26.83694730632859,13.405441864482954,2375.622976942161,2363.0308490165257,4826.973089916736,0.10657766208887894,117.45383522727273,-19.472702026367188,576.6121215820312
c444c40fc597bd20,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Another_One_Bites\TELEFILME - Hi-Fi Ghost [Audio] [-jid6dr145s].wav,1754895709.3369296,0.6267439721756368,29.85348949387556,8.92124089594806,2328.0668091173557,2643.4308570691046,5253.216581686717,0.07796098498184109,117.45383522727273,-19.874174118041992,711.6007080078125
d408942a35e2b8d9,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\audio_raw\Billie_Jean.wav,1754445397.6840737,0.5209825167881572,30.030853681698154,17.045068576951216,2826.778005091339,2888.163365071901,6267.3582065246,0.11393112974502687,117.45383522727273,-18.818958282470703,569.4879150390625
332def5452b041e9,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Billie_Jean\(FREE) Michael Jackson 80s type beat - Starlight Lover [8MZR9cvKURg].wav,1754896219.1342387,0.7213536449251287,26.656536212560766,23.367805230467486,1996.1577418239142,2308.255213093756,4349.971901102269,0.07971678388879654,112.34714673913044,-22.688695907592773,439.69580078125
4965dd7c602748a3,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Billie_Jean\Got 2 Grind [s4SgL1W6syU].wav,1754896188.7296283,0.9534331025317022,81.83794485903223,23.415908022862517,2173.762859123988,2279.7383573484017,4692.79621656853,0.07719823949550024,143.5546875,-16.546165466308594,521.9382934570312
c7d60928d0bad756,C:\Users\ghwns\HJ_git\ML-Projects\bass_seeker\data\candidates\Billie_Jean\His Wishlist： 43. In the Disco was One (Instrumental) [qKej0y7RDy0].wav,1754896132.0968733,0.9532694044577685,57.40773210185302,17.214036687599812,1559.2378306018331,2031.146970516143,3423.815448184594,0.051004896685320704,107.666015625,-16.52804946899414,594.1679077148438
